,loc_x,loc_y,shot_made_flag,Region
0,38.7,20.3,0.0,RE
1,44.9,1.1,0.0,RB
2,26.9,0.2,0.0,P
3,25.6,4.6,0.0,P
4,18.9,16.5,0.0,LE
5,14.6,0.7,1.0,LB
6,21.8,15.4,1.0,P
9,44.5,13.9,1.0,RB
11,8.399999999999999,18.8,0.0,LE
12,21.6,23.7,0.0,TK
15,9.4,18.8,1.0,LE
16,6.699999999999999,19.3,0.0,LW
17,3.3000000000000007,12.0,0.0,LB
19,29.0,11.1,0.0,P
20,24.8,0.7,1.0,P
21,20.5,7.5,1.0,P
22,15.4,23.7,0.0,LE
24,21.8,31.3,0.0,T
26,33.2,23.7,0.0,RE
27,6.300000000000001,19.3,0.0,LW
28,26.5,0.3,1.0,P
30,47.8,2.6,1.0,RC
31,42.9,16.9,0.0,RE
33,8.2,20.5,0.0,LW
37,8.2,19.8,1.0,LW
38,29.3,23.7,1.0,TK
39,41.6,18.0,0.0,RE
41,24.3,11.1,1.0,P
42,30.0,8.5,0.0,P
46,24.3,0.2,1.0,P
48,1.8000000000000007,11.0,1.0,LC
50,29.2,23.9,0.0,TK
52,7.399999999999999,16.9,1.0,LE
53,8.899999999999999,20.8,0.0,LW
54,10.2,20.8,1.0,LE
55,40.5,4.6,0.0,RB
56,2.5,11.5,1.0,LC
59,43.2,15.6,0.0,RE
60,39.3,7.0,0.0,RB
61,9.2,20.3,0.0,LE
63,25.0,0.8,1.0,P
64,46.3,13.9,1.0,RB
68,1.3000000000000007,0.2,0.0,LC
69,6.600000000000001,20.5,1.0,LW
70,15.1,6.5,0.0,LB
71,48.0,8.7,0.0,RC
72,47.3,10.6,0.0,RC
73,25.9,0.2,1.0,P
74,4.600000000000001,21.3,1.0,LW
75,35.1,2.6,0.0,RB
77,5.100000000000001,9.5,1.0,LB
78,6.899999999999999,17.8,0.0,LE
80,25.9,9.2,1.0,P
81,27.0,27.7,1.0,T
82,47.2,11.5,0.0,RC
83,8.7,19.3,0.0,LE
84,33.7,23.7,1.0,RE
85,27.4,25.9,0.0,TK
86,28.8,0.3,0.0,P
87,16.1,17.8,1.0,LE
88,1.8000000000000007,1.8,1.0,LC
89,15.3,26.9,0.0,LW
90,43.6,1.8,0.0,RB
91,34.2,1.1,0.0,RB
92,47.5,14.9,0.0,RW
93,40.9,21.3,1.0,RW
94,39.3,22.9,0.0,RW
96,15.8,11.0,0.0,LB
97,24.4,27.3,0.0,TK
98,8.5,1.8,0.0,LB
99,33.7,8.7,1.0,RB
101,42.9,18.3,0.0,RE
102,23.0,0.3,1.0,P
103,24.9,11.5,0.0,P
106,16.9,13.6,0.0,LB
107,19.0,19.3,0.0,TK
108,31.3,8.2,0.0,RB
109,26.7,18.0,0.0,P
110,18.4,24.9,0.0,TK
115,8.100000000000001,20.5,0.0,LW
116,13.1,24.9,0.0,LW
117,11.3,22.9,0.0,LW
119,42.6,4.1,0.0,RB
120,13.0,25.7,0.0,LW
121,40.8,3.6,0.0,RB
123,31.0,11.0,0.0,P
125,25.9,9.5,0.0,P
127,23.8,0.7,1.0,P
128,32.4,15.1,0.0,RE
129,28.8,19.8,0.0,TK
130,11.8,14.9,1.0,LE
131,40.6,18.8,1.0,RE
132,11.3,21.3,0.0,LE
133,22.1,20.3,0.0,TK
134,41.9,8.0,0.0,RB
135,27.2,25.9,0.0,TK
138,35.9,11.5,0.0,RB
